league,week,franchise_id,franchise_score,opponent_id,opponent_score,result,diff_score,diff_rank,total_score,total_rank,franchise_name,user_name,franchise_name_opponent,user_name_opponent
LTS Bowl L1,6,6,117.4,9,156.35,L,38.94999999999999,47,273.75,144,Diarrhea Happens,bartonscott84,Not Great Bob,tommcg17
LTS Bowl L1,6,7,100.45,2,162,L,61.55,15,262.45,167,Week 3 Meat Mountain,PossumKingdom,Golf Cartin',stephensear
LTS Bowl L1,6,8,136.05,10,131.9,W,4.150000000000006,164,267.95000000000005,158,Bad Faith Fantasy,cptbeefalo,Vandelay Industries,DGo81
LTS Bowl L1,6,9,156.35,6,117.4,W,38.94999999999999,47,273.75,144,Not Great Bob,tommcg17,Diarrhea Happens,bartonscott84
LTS Bowl L1,6,10,131.9,8,136.05,L,4.150000000000006,164,267.95000000000005,158,Vandelay Industries,DGo81,Bad Faith Fantasy,cptbeefalo
LTS Bowl L1,6,11,196.55,4,148.25,W,48.30000000000001,29,344.8,17,Klabbertrap,Klabbertrap,DeadEndFriends,DeadEndFriends
LTS Bowl L1,6,12,166.6,1,182.1,L,15.5,114,348.7,13,MikeDavisThrupple,DavisDayCare,Mouth Kazoo Maestros,Weagle85
LTS Bowl L1,7,1,195.8,3,150.4,W,45.400000000000006,36,346.20000000000005,15,Mouth Kazoo Maestros,Weagle85,THE KIDS,CommieEsq
LTS Bowl L1,7,2,159.3,10,172.6,L,13.299999999999983,121,331.9,30,Golf Cartin',stephensear,Vandelay Industries,DGo81
LTS Bowl L1,7,3,150.4,1,195.8,L,45.400000000000006,36,346.20000000000005,15,THE KIDS,CommieEsq,Mouth Kazoo Maestros,Weagle85
LTS Bowl L1,7,4,120.9,6,151.2,L,30.299999999999983,64,272.1,148,DeadEndFriends,DeadEndFriends,Diarrhea Happens,bartonscott84
LTS Bowl L1,7,5,168.55,12,141.6,W,26.950000000000017,77,310.15,78,High Tea,OhShagHennessy,MikeDavisThrupple,DavisDayCare
LTS Bowl L1,7,6,151.2,4,120.9,W,30.299999999999983,64,272.1,148,Diarrhea Happens,bartonscott84,DeadEndFriends,DeadEndFriends
LTS Bowl L1,7,7,165.2,8,134.5,W,30.69999999999999,63,299.7,96,Week 3 Meat Mountain,PossumKingdom,Bad Faith Fantasy,cptbeefalo
LTS Bowl L1,7,8,134.5,7,165.2,L,30.69999999999999,63,299.7,96,Bad Faith Fantasy,cptbeefalo,Week 3 Meat Mountain,PossumKingdom
LTS Bowl L1,7,9,141.6,11,144.6,L,3,174,286.2,122,Not Great Bob,tommcg17,Klabbertrap,Klabbertrap
LTS Bowl L1,7,10,172.6,2,159.3,W,13.299999999999983,121,331.9,30,Vandelay Industries,DGo81,Golf Cartin',stephensear
LTS Bowl L1,7,11,144.6,9,141.6,W,3,174,286.2,122,Klabbertrap,Klabbertrap,Not Great Bob,tommcg17
LTS Bowl L1,7,12,141.6,5,168.55,L,26.950000000000017,77,310.15,78,MikeDavisThrupple,DavisDayCare,High Tea,OhShagHennessy
LTS Bowl L1,8,1,164.45,2,144.7,W,19.75,99,309.15,79,Mouth Kazoo Maestros,Weagle85,Golf Cartin',stephensear
LTS Bowl L1,8,2,144.7,1,164.45,L,19.75,99,309.15,79,Golf Cartin',stephensear,Mouth Kazoo Maestros,Weagle85
LTS Bowl L1,8,3,179.15,11,172.2,W,6.950000000000017,147,351.35,9,THE KIDS,CommieEsq,Klabbertrap,Klabbertrap
